timestamp,cpu,memory,energy_joules,temperature
2025-06-11 11:43:10.970639,60.0,64.4,3.824416996670275,30.744
2025-06-11 11:43:11.026627,90.0,64.4,3.806436235081325,30.246
2025-06-11 11:43:11.081090,95.0,64.4,3.78449159188946,30.573
2025-06-11 11:43:11.135052,81.0,64.5,3.760179695970104,30.573
2025-06-11 11:43:11.187544,75.0,64.5,3.799524816377949,30.573
2025-06-11 11:43:11.241131,90.5,64.5,3.8112156189296473,30.573
2025-06-11 11:43:11.294279,80.0,64.5,3.7368287389533976,30.573
2025-06-11 11:43:11.346789,75.0,64.5,3.694458289277809,30.231
2025-06-11 11:43:11.399499,47.6,64.5,3.706792717883897,31.07
2025-06-11 11:43:11.451853,63.2,64.5,3.643619575253924,31.07
2025-06-11 11:43:11.504168,30.0,64.5,3.5747451636844993,31.365
2025-06-11 11:43:11.556380,30.0,64.5,3.600956917352902,31.365
2025-06-11 11:43:11.608771,45.0,64.5,3.63116507272051,30.852
2025-06-11 11:43:11.661158,26.3,64.5,3.6412592912705275,30.852
2025-06-11 11:43:11.713609,26.3,64.5,3.4641745894554883,30.821
2025-06-11 11:43:11.765785,30.0,64.5,3.569691612624846,30.821
2025-06-11 11:43:11.818306,40.0,64.5,3.8634133505023716,31.194
2025-06-11 11:43:11.870611,45.0,64.5,3.6944544203382224,29.733
2025-06-11 11:43:11.922893,70.0,64.5,3.6514774018432017,29.733
2025-06-11 11:43:11.975370,21.1,64.5,3.8132214998106297,29.112
2025-06-11 11:43:12.027762,61.9,64.6,3.674699587706147,29.112
2025-06-11 11:43:12.080072,35.0,64.5,3.521219039331486,30.324
2025-06-11 11:43:12.132394,25.0,64.5,3.488525501161325,30.324
2025-06-11 11:43:12.185033,47.4,64.5,3.408099540249417,31.505
2025-06-11 11:43:12.237426,26.3,64.5,3.3338393661613193,31.505
2025-06-11 11:43:12.289700,30.0,64.5,3.3538374074509343,29.827
2025-06-11 11:43:12.341869,25.0,64.5,3.507122049412256,29.827
2025-06-11 11:43:12.394441,57.1,64.5,3.694581163720029,29.858
2025-06-11 11:43:12.447972,57.1,64.5,3.726233198110923,30.884
2025-06-11 11:43:12.503350,95.2,64.5,3.7362344831728964,30.884
2025-06-11 11:43:12.555770,71.4,64.5,3.730084338254066,30.79
2025-06-11 11:43:12.608472,95.0,64.5,3.546143646971609,30.79
2025-06-11 11:43:12.660893,61.9,64.5,3.4616422774517095,31.101
2025-06-11 11:43:12.713687,66.7,64.5,3.6573933334388,31.101
2025-06-11 11:43:12.766749,61.9,64.5,3.6772703675535534,30.308
